region,scenario,sector,indicator,year,value,unit,version,comments,source
DEU,Historical,LULUCF,Emissions (absolute),2012,-18.02,MtCO2e (GWP-AR4),2023-08-01,Historical emissions/removals from forestry,Latest country assessment
GMB,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2012,2.55,MtCO2e (GWP-AR4),2023-02-01,"Historical emissions, excl forestry",Latest country assessment
EU27,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2012,3969,MtCO2e (GWP-AR4),2024-02-01,"Historical emissions, excl forestry",Latest country assessment
EU27,Historical,LULUCF,Emissions (absolute),2012,-343,MtCO2e (GWP-AR4),2024-02-01,Historical emissions/removals from forestry,Latest country assessment
ETH,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2012,137.99,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
EGY,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2012,306,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
CRI,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2012,13.86,MtCO2e (GWP-AR4),2023-03-01,"Historical emissions, excl forestry",Latest country assessment
CRI,Historical,LULUCF,Emissions (absolute),2012,4.29,MtCO2e (GWP-AR4),2023-03-01,Historical emissions/removals from forestry,Latest country assessment
COL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2012,142.28,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
COL,Historical,LULUCF,Emissions (absolute),2012,81.57,MtCO2e (GWP-AR4),2022-10-01,Historical emissions/removals from forestry,Latest country assessment
CHN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2012,12403.3,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
CHN,Historical,LULUCF,Emissions (absolute),2012,-576,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
CHL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2012,103.61,MtCO2e (GWP-AR4),2022-11-01,"Historical emissions, excl forestry",Latest country assessment
CHL,Historical,LULUCF,Emissions (absolute),2012,-68.32,MtCO2e (GWP-AR4),2022-11-01,Historical emissions/removals from forestry,Latest country assessment
CAN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2012,725.59,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
CAN,Historical,LULUCF,Emissions (absolute),2012,-23.56,MtCO2e (GWP-AR4),2022-10-01,Historical emissions/removals from forestry,Latest country assessment
BRA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2012,1099.8,MtCO2e (GWP-AR4),2023-12-01,"Historical emissions, excl forestry",Latest country assessment
BRA,Historical,LULUCF,Emissions (absolute),2012,181.29,MtCO2e (GWP-AR4),2023-12-01,Historical emissions/removals from forestry,Latest country assessment
BTN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2012,1.73,MtCO2e (GWP-AR4),2023-07-01,"Historical emissions, excl forestry",Latest country assessment
BTN,Historical,LULUCF,Emissions (absolute),2012,-8.65,MtCO2e (GWP-AR4),2023-07-01,Historical emissions/removals from forestry,Latest country assessment
AUS,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2012,542.17,MtCO2e (GWP-AR4),2023-12-01,"Historical emissions, excl forestry",Latest country assessment
AUS,Historical,LULUCF,Emissions (absolute),2012,25.36,MtCO2e (GWP-AR4),2023-12-01,Historical emissions/removals from forestry,Latest country assessment
ARG,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2012,327.85,MtCO2e (GWP-AR4),2023-07-01,"Historical emissions, excl forestry",Latest country assessment
ARG,Historical,LULUCF,Emissions (absolute),2012,93.22,MtCO2e (GWP-AR4),2023-07-01,Historical emissions/removals from forestry,Latest country assessment
ZAF,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2012,547.05,MtCO2e (GWP-AR4),2023-08-01,Historical dataset,Latest country assessment
ZAF,Historical,LULUCF,Emissions (absolute),2012,-6.07,MtCO2e (GWP-AR4),2023-08-01,Historical dataset,Latest country assessment
VNM,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,300.81,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
VNM,Historical,LULUCF,Emissions (absolute),2013,-34.24,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
USA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,6821.22,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
USA,Historical,LULUCF,Emissions (absolute),2013,-754.47,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
UKR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,409.04,MtCO2e (GWP-AR4),2021-11-01,"Historical emissions, excl forestry",Latest country assessment
UKR,Historical,LULUCF,Emissions (absolute),2013,-7.16,MtCO2e (GWP-AR4),2021-11-01,Historical emissions/removals from forestry,Latest country assessment
GBR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,563,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
GBR,Historical,LULUCF,Emissions (absolute),2013,1.09,MtCO2e (GWP-AR4),2023-08-01,Historical emissions/removals from forestry,Latest country assessment
ARE,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,251,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
ARE,Historical,LULUCF,Emissions (absolute),2013,0,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
TUR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,440.05,MtCO2e (GWP-AR4),2023-05-01,"Historical emissions, excl forestry",Latest country assessment
TUR,Historical,LULUCF,Emissions (absolute),2013,-76.93,MtCO2e (GWP-AR4),2023-05-01,Historical emissions/removals from forestry,Latest country assessment
THA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,350,MtCO2e (GWP-AR4),2023-10-01,"Historical emissions, excl forestry",Latest country assessment
THA,Historical,LULUCF,Emissions (absolute),2013,-83.11,MtCO2e (GWP-AR4),2023-10-01,Historical emissions/removals from forestry,Latest country assessment
CHE,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,51.55,MtCO2e (GWP-AR4),2023-06-01,"Historical emissions, excl forestry",Latest country assessment
CHE,Historical,LULUCF,Emissions (absolute),2013,-1.74,MtCO2e (GWP-AR4),2023-06-01,Historical emissions/removals from forestry,Latest country assessment
KOR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,708.37,MtCO2e (GWP-AR4),2023-06-01,"Historical emissions, excl forestry",Latest country assessment
KOR,Historical,LULUCF,Emissions (absolute),2013,-42.49,MtCO2e (GWP-AR4),2023-06-01,Historical emissions/removals from forestry,Latest country assessment
SGP,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,49.53,MtCO2e (GWP-AR4),2023-09-01,"Historical emissions, excl forestry",Latest country assessment
SAU,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,591,MtCO2e (GWP-AR4),2023-09-01,"Historical emissions, excl forestry",Latest country assessment
RUS,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,2041.81,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
RUS,Historical,LULUCF,Emissions (absolute),2013,-612.63,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
PHL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,192.26,MtCO2e (GWP-AR4),2023-05-01,"Historical emissions, excl forestry",Latest country assessment
PER,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,87.3,MtCO2e (GWP-AR4),2022-09-01,"Historical emissions, excl forestry",Latest country assessment
NOR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,53.25,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
NOR,Historical,LULUCF,Emissions (absolute),2013,-21.93,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
NGA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,272.48,MtCO2e (GWP-AR4),2023-06-01,"Historical emissions, excl forestry",Latest country assessment
NZL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,79.81,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
NZL,Historical,LULUCF,Emissions (absolute),2013,-26.3,MtCO2e (GWP-AR4),2022-10-01,Historical emissions/removals from forestry,Latest country assessment
NPL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,38.2,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
MAR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,82.9,MtCO2e (GWP-AR4),2023-04-01,"Historical emissions, excl forestry",Latest country assessment
MEX,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,722.74,MtCO2e (GWP-AR4),2023-10-01,"Historical emissions, excl forestry",Latest country assessment
MEX,Historical,LULUCF,Emissions (absolute),2013,-185.89,MtCO2e (GWP-AR4),2023-10-01,Historical emissions/removals from forestry,Latest country assessment
KEN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,65.13,MtCO2e (GWP-AR4),2022-05-01,"Historical emissions, excl forestry",Latest country assessment
KAZ,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,320.87,MtCO2e (GWP-AR4),2023-09-01,"Historical emissions, excl forestry",Latest country assessment
KAZ,Historical,LULUCF,Emissions (absolute),2013,19.13,MtCO2e (GWP-AR4),2023-09-01,Historical emissions/removals from forestry,Latest country assessment
JPN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,1405.35,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
JPN,Historical,LULUCF,Emissions (absolute),2013,-64.65,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
IRN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,813,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
IDN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,693.69,MtCO2e (GWP-AR4),2023-10-01,"Historical emissions, excl forestry",Latest country assessment
IDN,Historical,LULUCF,Emissions (absolute),2013,503.33,MtCO2e (GWP-AR4),2023-10-01,Historical emissions/removals from forestry,Latest country assessment
IND,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,2577.36,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
DEU,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,930.75,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
DEU,Historical,LULUCF,Emissions (absolute),2013,-16.77,MtCO2e (GWP-AR4),2023-08-01,Historical emissions/removals from forestry,Latest country assessment
GMB,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,2.63,MtCO2e (GWP-AR4),2023-02-01,"Historical emissions, excl forestry",Latest country assessment
EU27,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,3884,MtCO2e (GWP-AR4),2024-02-01,"Historical emissions, excl forestry",Latest country assessment
EU27,Historical,LULUCF,Emissions (absolute),2013,-343,MtCO2e (GWP-AR4),2024-02-01,Historical emissions/removals from forestry,Latest country assessment
ETH,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,140.55,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
EGY,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,307,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
CRI,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,14.09,MtCO2e (GWP-AR4),2023-03-01,"Historical emissions, excl forestry",Latest country assessment
CRI,Historical,LULUCF,Emissions (absolute),2013,5,MtCO2e (GWP-AR4),2023-03-01,Historical emissions/removals from forestry,Latest country assessment
COL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,151.47,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
COL,Historical,LULUCF,Emissions (absolute),2013,66.97,MtCO2e (GWP-AR4),2022-10-01,Historical emissions/removals from forestry,Latest country assessment
CHN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,12684.9,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
CHN,Historical,LULUCF,Emissions (absolute),2013,-841.96,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
CHL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,103.7,MtCO2e (GWP-AR4),2022-11-01,"Historical emissions, excl forestry",Latest country assessment
CHL,Historical,LULUCF,Emissions (absolute),2013,-77.56,MtCO2e (GWP-AR4),2022-11-01,Historical emissions/removals from forestry,Latest country assessment
CAN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,732.16,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
CAN,Historical,LULUCF,Emissions (absolute),2013,-19.51,MtCO2e (GWP-AR4),2022-10-01,Historical emissions/removals from forestry,Latest country assessment
BRA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,1142.33,MtCO2e (GWP-AR4),2023-12-01,"Historical emissions, excl forestry",Latest country assessment
BRA,Historical,LULUCF,Emissions (absolute),2013,390.93,MtCO2e (GWP-AR4),2023-12-01,Historical emissions/removals from forestry,Latest country assessment
BTN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,1.87,MtCO2e (GWP-AR4),2023-07-01,"Historical emissions, excl forestry",Latest country assessment
BTN,Historical,LULUCF,Emissions (absolute),2013,-8.67,MtCO2e (GWP-AR4),2023-07-01,Historical emissions/removals from forestry,Latest country assessment
AUS,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,533.55,MtCO2e (GWP-AR4),2023-12-01,"Historical emissions, excl forestry",Latest country assessment
AUS,Historical,LULUCF,Emissions (absolute),2013,15.89,MtCO2e (GWP-AR4),2023-12-01,Historical emissions/removals from forestry,Latest country assessment
ARG,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,335.46,MtCO2e (GWP-AR4),2023-07-01,"Historical emissions, excl forestry",Latest country assessment
ARG,Historical,LULUCF,Emissions (absolute),2013,89.25,MtCO2e (GWP-AR4),2023-07-01,Historical emissions/removals from forestry,Latest country assessment
ZAF,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2013,546.11,MtCO2e (GWP-AR4),2023-08-01,Historical dataset,Latest country assessment
ZAF,Historical,LULUCF,Emissions (absolute),2013,-15.14,MtCO2e (GWP-AR4),2023-08-01,Historical dataset,Latest country assessment
VNM,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,309.04,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
VNM,Historical,LULUCF,Emissions (absolute),2014,-37.54,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
USA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,6879.41,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
USA,Historical,LULUCF,Emissions (absolute),2014,-773.95,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
UKR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,362.61,MtCO2e (GWP-AR4),2021-11-01,"Historical emissions, excl forestry",Latest country assessment
UKR,Historical,LULUCF,Emissions (absolute),2014,-4.62,MtCO2e (GWP-AR4),2021-11-01,Historical emissions/removals from forestry,Latest country assessment
GBR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,522.6,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
GBR,Historical,LULUCF,Emissions (absolute),2014,0.79,MtCO2e (GWP-AR4),2023-08-01,Historical emissions/removals from forestry,Latest country assessment
ARE,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,245,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
ARE,Historical,LULUCF,Emissions (absolute),2014,-8.43,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
TUR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,459.37,MtCO2e (GWP-AR4),2023-05-01,"Historical emissions, excl forestry",Latest country assessment
TUR,Historical,LULUCF,Emissions (absolute),2014,-77.87,MtCO2e (GWP-AR4),2023-05-01,Historical emissions/removals from forestry,Latest country assessment
THA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,349,MtCO2e (GWP-AR4),2023-10-01,"Historical emissions, excl forestry",Latest country assessment
THA,Historical,LULUCF,Emissions (absolute),2014,-100.51,MtCO2e (GWP-AR4),2023-10-01,Historical emissions/removals from forestry,Latest country assessment
CHE,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,49.2,MtCO2e (GWP-AR4),2023-06-01,"Historical emissions, excl forestry",Latest country assessment
CHE,Historical,LULUCF,Emissions (absolute),2014,-0.16,MtCO2e (GWP-AR4),2023-06-01,Historical emissions/removals from forestry,Latest country assessment
KOR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,702.88,MtCO2e (GWP-AR4),2023-06-01,"Historical emissions, excl forestry",Latest country assessment
KOR,Historical,LULUCF,Emissions (absolute),2014,-43.23,MtCO2e (GWP-AR4),2023-06-01,Historical emissions/removals from forestry,Latest country assessment
SGP,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,50.08,MtCO2e (GWP-AR4),2023-09-01,"Historical emissions, excl forestry",Latest country assessment
SGP,Historical,LULUCF,Emissions (absolute),2014,0.09,MtCO2e (GWP-AR4),2023-09-01,Historical emissions/removals from forestry,Latest country assessment
SAU,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,671,MtCO2e (GWP-AR4),2023-09-01,"Historical emissions, excl forestry",Latest country assessment
RUS,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,2037.64,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
RUS,Historical,LULUCF,Emissions (absolute),2014,-657.43,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
PHL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,199.25,MtCO2e (GWP-AR4),2023-05-01,"Historical emissions, excl forestry",Latest country assessment
PER,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,93.6,MtCO2e (GWP-AR4),2022-09-01,"Historical emissions, excl forestry",Latest country assessment
PER,Historical,LULUCF,Emissions (absolute),2014,105.65,MtCO2e (GWP-AR4),2022-09-01,Historical emissions/removals from forestry,Latest country assessment
NOR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,53.56,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
NOR,Historical,LULUCF,Emissions (absolute),2014,-18.2,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
NGA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,280.85,MtCO2e (GWP-AR4),2023-06-01,"Historical emissions, excl forestry",Latest country assessment
NZL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,80.62,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
NZL,Historical,LULUCF,Emissions (absolute),2014,-26.65,MtCO2e (GWP-AR4),2022-10-01,Historical emissions/removals from forestry,Latest country assessment
NPL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,40,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
MAR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,83,MtCO2e (GWP-AR4),2023-04-01,"Historical emissions, excl forestry",Latest country assessment
MAR,Historical,LULUCF,Emissions (absolute),2014,-1.59,MtCO2e (GWP-AR4),2023-04-01,Historical emissions/removals from forestry,Latest country assessment
MEX,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,721.66,MtCO2e (GWP-AR4),2023-10-01,"Historical emissions, excl forestry",Latest country assessment
MEX,Historical,LULUCF,Emissions (absolute),2014,-181.2,MtCO2e (GWP-AR4),2023-10-01,Historical emissions/removals from forestry,Latest country assessment
KEN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,67.54,MtCO2e (GWP-AR4),2022-05-01,"Historical emissions, excl forestry",Latest country assessment
KAZ,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,342.32,MtCO2e (GWP-AR4),2023-09-01,"Historical emissions, excl forestry",Latest country assessment
KAZ,Historical,LULUCF,Emissions (absolute),2014,19.33,MtCO2e (GWP-AR4),2023-09-01,Historical emissions/removals from forestry,Latest country assessment
JPN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,1356.51,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
JPN,Historical,LULUCF,Emissions (absolute),2014,-61.73,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
IRN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,852,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
IDN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,709.03,MtCO2e (GWP-AR4),2023-10-01,"Historical emissions, excl forestry",Latest country assessment
IDN,Historical,LULUCF,Emissions (absolute),2014,862.07,MtCO2e (GWP-AR4),2023-10-01,Historical emissions/removals from forestry,Latest country assessment
IND,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,2693.53,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
IND,Historical,LULUCF,Emissions (absolute),2014,-301,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
DEU,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,890.87,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
DEU,Historical,LULUCF,Emissions (absolute),2014,-9.56,MtCO2e (GWP-AR4),2023-08-01,Historical emissions/removals from forestry,Latest country assessment
GMB,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,2.8,MtCO2e (GWP-AR4),2023-02-01,"Historical emissions, excl forestry",Latest country assessment
EU27,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,3744,MtCO2e (GWP-AR4),2024-02-01,"Historical emissions, excl forestry",Latest country assessment
EU27,Historical,LULUCF,Emissions (absolute),2014,-328,MtCO2e (GWP-AR4),2024-02-01,Historical emissions/removals from forestry,Latest country assessment
ETH,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,148.24,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
EGY,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,321,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
CRI,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,14,MtCO2e (GWP-AR4),2023-03-01,"Historical emissions, excl forestry",Latest country assessment
CRI,Historical,LULUCF,Emissions (absolute),2014,-1.29,MtCO2e (GWP-AR4),2023-03-01,Historical emissions/removals from forestry,Latest country assessment
COL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,153.61,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
COL,Historical,LULUCF,Emissions (absolute),2014,70.6,MtCO2e (GWP-AR4),2022-10-01,Historical emissions/removals from forestry,Latest country assessment
CHN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,12888.6,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
CHN,Historical,LULUCF,Emissions (absolute),2014,-1107.91,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
CHL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,100.42,MtCO2e (GWP-AR4),2022-11-01,"Historical emissions, excl forestry",Latest country assessment
CHL,Historical,LULUCF,Emissions (absolute),2014,-65.98,MtCO2e (GWP-AR4),2022-11-01,Historical emissions/removals from forestry,Latest country assessment
CAN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,729.6,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
CAN,Historical,LULUCF,Emissions (absolute),2014,-39.41,MtCO2e (GWP-AR4),2022-10-01,Historical emissions/removals from forestry,Latest country assessment
BRA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,1172.61,MtCO2e (GWP-AR4),2023-12-01,"Historical emissions, excl forestry",Latest country assessment
BRA,Historical,LULUCF,Emissions (absolute),2014,249.09,MtCO2e (GWP-AR4),2023-12-01,Historical emissions/removals from forestry,Latest country assessment
BTN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,2.02,MtCO2e (GWP-AR4),2023-07-01,"Historical emissions, excl forestry",Latest country assessment
BTN,Historical,LULUCF,Emissions (absolute),2014,-8.25,MtCO2e (GWP-AR4),2023-07-01,Historical emissions/removals from forestry,Latest country assessment
AUS,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,525.66,MtCO2e (GWP-AR4),2023-12-01,"Historical emissions, excl forestry",Latest country assessment
AUS,Historical,LULUCF,Emissions (absolute),2014,18.87,MtCO2e (GWP-AR4),2023-12-01,Historical emissions/removals from forestry,Latest country assessment
ARG,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,336.22,MtCO2e (GWP-AR4),2023-07-01,"Historical emissions, excl forestry",Latest country assessment
ARG,Historical,LULUCF,Emissions (absolute),2014,61.56,MtCO2e (GWP-AR4),2023-07-01,Historical emissions/removals from forestry,Latest country assessment
ZAF,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2014,524.92,MtCO2e (GWP-AR4),2023-08-01,Historical dataset,Latest country assessment
ZAF,Historical,LULUCF,Emissions (absolute),2014,-9.92,MtCO2e (GWP-AR4),2023-08-01,Historical dataset,Latest country assessment
VNM,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2015,329.51,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
USA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2015,6716.94,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
USA,Historical,LULUCF,Emissions (absolute),2015,-677.38,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
UKR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2015,319.14,MtCO2e (GWP-AR4),2021-11-01,"Historical emissions, excl forestry",Latest country assessment
UKR,Historical,LULUCF,Emissions (absolute),2015,-6.78,MtCO2e (GWP-AR4),2021-11-01,Historical emissions/removals from forestry,Latest country assessment
GBR,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),2015,505.19,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
