region,scenario,sector,indicator,year,value,unit,version,comments,source
IDN,Historical,LULUCF,Emissions (absolute),1990,212.2,MtCO2e (GWP-AR4),2023-10-01,Historical emissions/removals from forestry,Latest country assessment
IND,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,1142.14,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
DEU,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,1243.44,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
DEU,Historical,LULUCF,Emissions (absolute),1990,35.41,MtCO2e (GWP-AR4),2023-08-01,Historical emissions/removals from forestry,Latest country assessment
GMB,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,1.45,MtCO2e (GWP-AR4),2023-02-01,"Historical emissions, excl forestry",Latest country assessment
EU27,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,4831,MtCO2e (GWP-AR4),2024-02-01,"Historical emissions, excl forestry",Latest country assessment
EU27,Historical,LULUCF,Emissions (absolute),1990,-209,MtCO2e (GWP-AR4),2024-02-01,Historical emissions/removals from forestry,Latest country assessment
ETH,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,67.2,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
EGY,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,131,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
EGY,Historical,LULUCF,Emissions (absolute),1990,-9.9,MtCO2e (GWP-AR4),2023-08-01,Historical emissions/removals from forestry,Latest country assessment
CRI,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,8.89,MtCO2e (GWP-AR4),2023-03-01,"Historical emissions, excl forestry",Latest country assessment
CRI,Historical,LULUCF,Emissions (absolute),1990,29.1,MtCO2e (GWP-AR4),2023-03-01,Historical emissions/removals from forestry,Latest country assessment
COL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,96.85,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
COL,Historical,LULUCF,Emissions (absolute),1990,118.33,MtCO2e (GWP-AR4),2022-10-01,Historical emissions/removals from forestry,Latest country assessment
CHN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,3645.8,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
CHN,Historical,LULUCF,Emissions (absolute),1990,-407,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
CHL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1990,49.75,MtCO2e (GWP-AR4),2022-11-01,"Historical emissions, excl forestry",Latest country assessment
CHL,Historical,LULUCF,Emissions (absolute),1990,-60.15,MtCO2e (GWP-AR4),2022-11-01,Historical emissions/removals from forestry,Latest country assessment
